fill_level_blue,fill_level_green,fill_level_red
386.80472714396143,0.0,445.99963131360107
381.28890904560063,0.0,444.17477066312046
375.96680318506066,0.0,442.80992119459626
371.1259009114542,0.0,441.0739617120197
365.8294679597054,0.0,438.92786742332004
360.52529493811346,0.0,437.16269401280186
355.47402436281925,0.0,435.1925502980626
350.4358911503555,0.0,433.23350532461814
344.7075758702229,0.0,431.42828034040076
338.9720719624332,0.0,429.4290151474054
333.6730698213948,0.0,427.5237691015533
329.20889498750256,0.0,426.1420378123374
324.0800601043965,0.0,424.30341202176487
318.96327949992974,0.0,421.73632499957614
313.98098185927205,0.0,419.7687280590107
308.56714355652974,0.0,417.8004995127112
303.5492176577827,0.0,415.5800695454606
298.1412192755058,0.0,413.28948979183554
292.9614994370373,0.0,410.9006598223559
287.10828414305615,0.0,409.5852339348599
282.07050356889584,782.0770457821606,407.7818014888125
276.9546759439512,765.2948659552886,405.178585262136
271.17913411622305,749.0021662640448,403.07056381372337
266.4376031905188,732.3557051346274,401.05418167955685
261.4009836012757,716.3803148540927,398.79184924652156
256.43222067260365,700.6318522689583,397.3864105176661
251.23780792744756,683.1281914426368,394.9889815600701
246.24239259749515,665.859156240119,392.96502942008794
240.78144389925015,648.8143397868224,390.93253125471915
235.54539380694172,631.8163150144487,388.6470590348837
230.95030597931898,615.5974920906126,386.8456564465252
225.97621223416127,598.6321825152828,385.1249086570158
220.62218801474307,581.068473315837,383.4729672000406
215.21176329792706,563.6620354833599,381.369318294967
209.7607165291654,546.3277245287577,379.1038544312275
204.3059032619323,529.4099563691561,376.9155193880464
198.98611185274007,511.4463505225168,374.52951987693757
193.72002205126714,493.6449725847675,372.5890633964075
188.46431454171633,476.37376981271774,370.5148639436199
183.52392599455663,459.74540700178875,368.5453678637891
178.4704330119877,442.6055418239985,366.6636171551964
173.16390721340414,425.721585448476,364.90689756343437
167.82991378812153,409.17735654230034,362.96360681853537
162.92222214763973,391.11043674939225,360.9616193565411
157.64981303860648,373.65533930588106,358.9967893852674
152.23476885728203,356.31475967832637,357.0958262871626
147.2481230368123,339.3100869243112,355.1684416815333
141.4298350833412,323.69672875044637,353.1314720788489
136.5812517993386,307.5468480432067,351.51163181245147
131.18747118144765,290.07304972706316,349.41660851367374
126.12893369077142,273.11966364232904,347.69154001100475
120.96430876284,256.50505314987487,346.0350149564444
115.72946012486337,239.5873843661546,343.59485860118036
110.40624165452829,222.55187882926467,341.9091172795783
105.32031249469561,204.96005772378825,340.3343558285049
100.05203859869815,188.00289548655437,337.9734527070912
94.88899559650876,170.88882519319588,335.95692975263654
89.53729361244619,152.96300970046786,334.5883716218037
84.43166920293217,135.67574752493516,332.3545064010271
79.18448735083172,118.78198189779476,330.359731297878
73.63252913377204,101.77246037921043,327.7912257787264
68.50047351138178,84.88168679061074,325.8703338911348
63.405914550944786,68.2777337145807,323.93258375323575
58.624762410329765,51.2517356841494,321.914044689236
53.15346701227667,33.44740668651737,319.9068940305851
48.00534344681611,16.429864947933513,317.8708276061873
43.02281304897171,0.0,315.2165914956555
37.487455640978574,0.0,312.5202920267757
32.64482097191991,0.0,310.5648474025694
27.42522647422149,0.0,308.66833510462607
21.556916715914426,0.0,307.03362998170223
16.57087373984849,0.0,305.1306286522674
