ID,fill_level_blue,fill_level_green,fill_level_red,final_weight
49626430,0.0,0.0,0.0,11.30010998166803
49626432,0.0,0.0,0.0,11.692604536202836
49626434,386.80472714396143,0.0,0.0,11.550286873133135
49626436,381.28890904560063,0.0,445.99963131360107,11.800093460043577
49626438,375.96680318506066,0.0,444.17477066312046,10.86842717314741
49626440,371.1259009114542,0.0,442.80992119459626,9.645721517937751
49626442,365.8294679597054,0.0,441.0739617120197,10.469849399697484
49626444,360.52529493811346,0.0,438.92786742332004,10.844918863732868
49626446,355.47402436281925,0.0,437.16269401280186,10.706962664372632
49626448,350.4358911503555,0.0,435.1925502980626,11.128479494428454
49626450,344.7075758702229,0.0,433.23350532461814,11.587318123100486
49626452,338.9720719624332,0.0,431.42828034040076,11.121152900503864
49626454,333.6730698213948,0.0,429.4290151474054,10.97587168586583
49626456,329.20889498750256,0.0,427.5237691015533,9.951339340865818
49626458,324.0800601043965,0.0,426.1420378123374,9.987666111459674
49626460,318.96327949992974,0.0,424.30341202176487,10.729789035956799
49626462,313.98098185927205,0.0,421.73632499957614,11.931292435414665
49626464,308.56714355652974,0.0,419.7687280590107,10.934148950802971
49626466,303.5492176577827,0.0,417.8004995127112,10.626440039936119
49626468,298.1412192755058,0.0,415.5800695454606,11.645703646301204
49626470,292.9614994370373,0.0,413.28948979183554,11.628724816334625
49626472,287.10828414305615,782.0770457821606,410.9006598223559,38.28590372716866
49626474,282.07050356889584,765.2948659552886,409.5852339348599,36.41507033403328
49626476,276.9546759439512,749.0021662640448,407.7818014888125,36.04101860602876
49626478,271.17913411622305,732.3557051346274,405.178585262136,38.3052053225786
49626480,266.4376031905188,716.3803148540927,403.07056381372337,36.92597626234932
49626482,261.4009836012757,700.6318522689583,401.05418167955685,35.97148078241704
49626484,256.43222067260365,683.1281914426368,398.79184924652156,37.10926663030679
49626486,251.23780792744756,665.859156240119,397.3864105176661,36.846603985599806
49626488,246.24239259749515,648.8143397868224,394.9889815600701,37.1925878847512
49626490,240.78144389925015,631.8163150144487,392.96502942008794,37.273009434534885
49626492,235.54539380694172,615.5974920906126,390.93253125471915,36.67856345984228
49626494,230.95030597931898,598.6321825152828,388.6470590348837,35.910539576533054
49626496,225.97621223416127,581.068473315837,386.8456564465252,36.085729127940894
49626498,220.62218801474307,563.6620354833599,385.1249086570158,36.92991463631738
49626500,215.21176329792706,546.3277245287577,383.4729672000406,36.34911398839904
49626502,209.7607165291654,529.4099563691561,381.369318294967,37.42730957724892
49626504,204.3059032619323,511.4463505225168,379.1038544312275,38.03021738449307
49626506,198.98611185274007,493.6449725847675,376.9155193880464,37.5773906500641
49626508,193.72002205126714,476.37376981271774,374.52951987693757,37.20687398451428
49626510,188.46431454171633,459.74540700178875,372.5890633964075,36.735113915752194
49626512,183.52392599455663,442.6055418239985,370.5148639436199,36.99178437585071
49626514,178.4704330119877,425.721585448476,368.5453678637891,36.270553201599505
49626516,173.16390721340414,409.17735654230034,366.6636171551964,36.57955978484533
49626518,167.82991378812153,391.11043674939225,364.90689756343437,36.63636693832629
49626520,162.92222214763973,373.65533930588106,362.96360681853537,36.246094451249604
49626522,157.64981303860648,356.31475967832637,360.9616193565411,37.226161703317885
49626524,152.23476885728203,339.3100869243112,358.9967893852674,37.03189162261583
49626526,147.2481230368123,323.69672875044637,357.0958262871626,35.942151299504545
49626528,141.4298350833412,307.5468480432067,355.1684416815333,36.76304780611353
49626530,136.5812517993386,290.07304972706316,353.1314720788489,37.03011191932811
49626532,131.18747118144765,273.11966364232904,351.51163181245147,36.55279687675316
49626534,126.12893369077142,256.50505314987487,349.41660851367374,37.104103805540774
49626536,120.96430876284,239.5873843661546,347.69154001100475,37.928780168293976
49626538,115.72946012486337,222.55187882926467,346.0350149564444,35.975266486031074
49626540,110.40624165452829,204.96005772378825,343.59485860118036,38.06418268035946
49626542,105.32031249469561,188.00289548655437,341.9091172795783,36.51494730251755
49626544,100.05203859869815,170.88882519319588,340.3343558285049,36.74671103442868
49626546,94.88899559650876,152.96300970046786,337.9734527070912,37.47187845858677
49626548,89.53729361244619,135.67574752493516,335.95692975263654,37.376028837068404
49626550,84.43166920293217,118.78198189779476,334.5883716218037,36.00462765307191
49626552,79.18448735083172,101.77246037921043,332.3545064010271,36.91844795203709
49626554,73.63252913377204,84.88168679061074,330.359731297878,37.25548563539978
49626556,68.50047351138178,68.2777337145807,327.7912257787264,37.83335712994546
49626558,63.405914550944786,51.2517356841494,325.8703338911348,37.09401878834647
49626560,58.624762410329765,33.44740668651737,323.93258375323575,35.865868459859804
49626562,53.15346701227667,16.429864947933513,321.914044689236,37.68713360212385
49626564,48.00534344681611,0.0,319.9068940305851,11.051551503558716
49626566,43.02281304897171,0.0,317.8708276061873,10.923914270964822
49626568,37.487455640978574,0.0,315.2165914956555,12.32310515698174
49626570,32.64482097191991,0.0,312.5202920267757,11.785446033872326
49626572,27.42522647422149,0.0,310.5648474025694,11.017672893282167
49626574,21.556916715914426,0.0,308.66833510462607,0.0
49626576,16.57087373984849,0.0,307.03362998170223,0.0
49626578,0.0,0.0,305.1306286522674,0.0
